id;channel;descripcion
77;La Octava;XHFAMX-TDT es una estación de televisión comercial mexicana con sede en la Ciudad de México, que inició transmisiones el 31 de octubre de 2019. Conocida también como La Octava.  Tras obtener el fallo del IFT que declaró ganador del canal a Francisco Aguirre, éste declaró que el canal se enfocará principalmente a ofrecer una programación musical y noticiosa.29?Durante la presentación del canal, el 10 de octubre de 2019, se presentaron los conductores principales de sus programas noticiosos, así como una serie de programas dirigidos al público infantil y juvenil, producidos en asociación con el zoológico Africam Safari, como parte de su oferta de entretenimiento.
78;Las Estrellas;Las Estrellas es líder de contenidos de telenovelas, reality shows, noticias de famosos y horóscopos en México. 
79;Las Estrellas - 1 Hr.;Las Estrellas es líder de contenidos de telenovelas, reality shows, noticias de famosos y horóscopos en México. 
80;Las Estrellas -2 Hrs.;Las Estrellas es líder de contenidos de telenovelas, reality shows, noticias de famosos y horóscopos en México. 
81;Las Estrellas el Paso;Las Estrellas es líder de contenidos de telenovelas, reality shows, noticias de famosos y horóscopos en México. 
82;Lifetime;Lifetime es un canal de televisión por suscripción latinoamericano de origen estadounidense, propiedad de A+E Networks y Sony Pictures Entertainment, enfocado al público femenino con programación de estilo de vida, telerrealidad, series y películas originales que tienen a mujeres en los roles principales.
83;Mas Chic;Más Chic es un canal de televisión por suscripción latinoamericano de origen argentino que opera para Latinoamérica y la comunidad hispana de Estados Unidos. El contenido de dicho canal está dirigido a mujeres, amas de casa y personas que se profesionalizan en las decoraciones, la cocina e incluso el arte en el hogar.
84;Mas Vision (+V);XEDK-TDT es una estación de televisión comercial sirviendo a la ciudad de Guadalajara, Jalisco y su Area Metropolitana. Fue el canal repetidor NU9VE para la Ciudad, pero desde los años 60's hasta 1997 era considerado como el canal de televisión más importante del Occidente de México. De los programas más recordados de la señal se encuentra Sixto: una marioneta de color azul que animaba los programas infantiles. así como por el programa musical de las décadas de 1980 y 1990 llamado 87.8, que sirvió como plataforma de lanzamiento a la fama de algunos artistas locales.
85;Milenio Tv 2019;Milenio Televisión es un canal de televisión abierta mexicano que transmite noticias. Pertenece a Grupo Multimedios. Es el canal hermano del periódico del mismo nombre y de la cadena de radio homónima. Su programación se basa en espacios informativos, debates y análisis.
86;MTV;"MTV es un canal de televisión por suscripción latinoamericano de origen estadounidense, y es la versión regional del canal estadounidense MTV. La programación se realiza mediante un sistema de tres señales distintas que se distribuyen en la mayor parte de la región. El canal es operado por ViacomCBS Networks Americas. Hasta el día de hoy, MTV es la cadena de música por televisión más grande de América Latina.1?

Su programación es dedicada solo a ciertos géneros musicales y no engloba otros tipos de música populares en los países para los que está destinada, a diferencia de los demás canales de su tipo en Latinoamérica. Su menú musical cubre principalmente los géneros pop, rock y hip hop. Dichas clasificaciones musicales son en idioma inglés y español."
87;Multicinema;MC anteriormente conocido como Multicinema es un canal de televisión mexicano propiedad de MVS Comunicaciones. Desde su creación emite películas de temática variada, y anteriormente transmitía series y la lucha libre de la WWE completamente en vivo. Su programación consiste en una amplia gama de películas, lo que lo convierte en un canal de cine. Ha emitido desde cine para adultos hasta cine infantil, pasando por la acción, el terror y el drama. Generalmente su programación está enfocada para un público adolescente y adulto. También transmite ocasionalmente cine internacional y de festivales, así como cine independiente.
88;Multimedios;"Canal 6, más conocido como Multimedios Televisión, es una cadena de televisión abierta mexicana con sede en Monterrey, Nuevo León, siendo la estación principal de la cadena, XHAW-TDT en esa ciudad. La cadena es de alcance limitado, con presencia en los estados de Tamaulipas, San Luis Potosí, Coahuila, Sonora, Guanajuato, Coahuila, Puebla de Zaragoza, Durango, Jalisco, Chihuahua y la Ciudad de México. El canal virtual nacional asignado para este canal en México es el 6.1.1?
La programación de esta cadena también se transmite por la señal conocida como Multimedios+ (Multimedios Plus) y cuenta con estaciones afiliadas en los estados de Texas, Utah y California en Estados Unidos. Su programación también puede ser vista en cualquier parte del mundo a través de Internet, además de diversos sistemas de TV de paga en Norteamérica. Además de la programación de noticieros y deportes."
89;Multimedios Cdmx;"Canal 6, más conocido como Multimedios Televisión, es una cadena de televisión abierta mexicana con sede en Monterrey, Nuevo León, siendo la estación principal de la cadena, XHAW-TDT en esa ciudad. La cadena es de alcance limitado, con presencia en los estados de Tamaulipas, San Luis Potosí, Coahuila, Sonora, Guanajuato, Coahuila, Puebla de Zaragoza, Durango, Jalisco, Chihuahua y la Ciudad de México. El canal virtual nacional asignado para este canal en México es el 6.1.1?
La programación de esta cadena también se transmite por la señal conocida como Multimedios+ (Multimedios Plus) y cuenta con estaciones afiliadas en los estados de Texas, Utah y California en Estados Unidos. Su programación también puede ser vista en cualquier parte del mundo a través de Internet, además de diversos sistemas de TV de paga en Norteamérica. Además de la programación de noticieros y deportes."
90;Mvs Tv;MVS TV (estilizado como MVS tv) es un canal de televisión de paga y TDT de contenidos generales producida por MVS Comunicaciones. En México, este canal es distribuido por Dish México vía satélite nacionalmente y Megacable vía Televisión por cable en algunas ciudades. Desde 2016, se transmite como multiprogramación en estaciones TV abierta de Multimedios Televisión en algunas ciudades de la República Mexicana.
91;Nat Geo Kids;Nat Geo Kids es un canal de televisión por suscripción latinoamericano de origen estadounidense enfocado a niños de 3 a 11 años con programación preescolar de temática dirigida a la ciencia, medio ambiente y a la exploración, junto con series animadas y películas familiares.2? Fue lanzado el 1 de julio de 2017 en reemplazo de MundoFox.3? Es propiedad de National Geographic Partners, una empresa conjunta entre The Walt Disney Company y National Geographic Society, y es operado por Disney Media Networks Latin America.
92;Nat Geo Wild;National Geographic Wild (anteriormente conocido como Nat Geo Wild) es un canal de televisión por suscripción que se enfoca en la emisión de programas relacionados con los animales, la vida salvaje y la exploración, es la señal hermana de National Geographic, propiedad de National Geographic Partners, The Walt Disney Company y operado por Disney Channels Worldwide. El principal competidor es Animal Planet.
93;National Geographic;National Geographic, abreviado como NatGeo, es un canal de televisión por suscripción estadounidense lanzado por la National Geographic Partners el 1 de septiembre de 1997. Su programación se basa en documentales de 45 min aproximadamente sobre exploración científica, historia, naturaleza y cultura, entre otros. Los programas insignias del canal son los de no-ficción producidos por National Geographic. Al igual que History y Discovery, el canal presenta documentales que involucra la naturaleza, la ciencia, la cultura y la historia, además de algunos programas de realities y entretenimiento pseudocientífico. Su canal hermano a nivel mundial es Nat Geo Wild, que se enfoca en animales.
94;Nick Jr;"Nick Jr. es un canal de televisión por suscripción latinoamericano de origen estadounidense destinado al público preescolar que emite en Latinoamérica desde el 1 de julio del 2008. El canal es propiedad de ViacomCBS Networks Americas, que es una filial de ViacomCBS. En Latinoamérica, Nick Jr. se transmitía como un bloque todas las mañanas en Nickelodeon desde el 20 de diciembre de 1996 hasta el 30 de diciembre de 2016 y es un canal propio desde el 1 de julio de 2008, en el canal se transmiten las siguientes series como Blaze and the Monster Machines, Bubble Guppies, entre otros.

En 2018 se estrenó Canticos, el corto musical de Nick Jr."
95;Nickelodeon;Nickelodeon (más conocido como Nick) es un canal de televisión por suscripción latinoamericano de origen estadounidense, orientado a niños y adolescentes. Es propiedad de ViacomCBS Networks Americas, filial de ViacomCBS Networks International. Su programación se basa en comedias juveniles (ya sean producidas en Estados Unidos, o localmente), series animadas y shows para la audiencia preescolar.
96;Nu Music;NU Music fue un canal de televisión por suscripción latinoamericano de origen mexicano, producido por MVS Televisión. Se especializo en emitir programación musical. Desde el 12 de febrero de 2015, Reemplazando a Exa TV en Latinoamérica.
97;Once Ninos;Canal 11 (actualmente estilizado como once), es un canal de televisión público mexicano, perteneciente al Instituto Politécnico Nacional (IPN). Su estación principal es XEIPN-TDT, localizada en la Ciudad de México. Canal Once ha producido varias series de ficción y renombre, entre ellas se encuentran las series infantiles El diván de Valentina, Camino a casa, Cuentos de pelos y Woki Tokis, y comedias de situación con enfoque familiar, como Fonda Susilla. Las hubo con un enfoque educativo, a la vez que promocionaron las distintas regiones del país como Por Caminos y Brechas, conducido por el actor Arsenio Campos, que han sido un gran éxito con los niños por sus guiones. XY, que cuestiona el estereotipo masculino y aborda temas como la infidelidad, homosexualidad, problemas económicos y desempleo. Bienes raíces, que trata de una manera muy innovadora sobre todos aquellos cambios que surgen al cambiar de casa. Soy tu fan, una adaptación de una serie argentina producida y protagonizada por Dolores Fonzi. Los Minondo, que es una serie histórica.
98;Paramount Channel;Paramount Network (anteriormente Paramount Channel) es un canal de televisión por suscripción latinoamericano de origen estadounidense que emite películas principalmente de la productora de cine Paramount Pictures y series. El canal es operado por ViacomCBS Networks Americas (propiedad de ViacomCBS). Cuenta con el servicio de streaming Paramount+.
99;Platino;El Canal Cinema Platino es un canal de televisión de origen mexicano que transmite una programación basada en películas con su idioma original y traducidas al español de varios géneros realizadas en Hollywood. El Canal Cinema Platino es propiedad y operado por PCTV y Megacable Comunicaciones.
100;RMS;Telehit Música (anteriormente conocido como Ritmoson, Ritmoson Latino, RMS y Telehit Urbano) es un canal de televisión por suscripción latinoamericano de origen mexicano, enfocado a la emisión de música las 24 horas del día. Fue lanzado el 30 de abril de 1994 bajo el nombre de Ritmoson y es propiedad de Televisa Networks. 
101;Sony;Sony Channel (conocido como Sony) es un canal de televisión por suscripción latinoamericano el cual emite series y películas. Emite desde la Ciudad de México, México y Bogotá, Colombia en español y desde São Paulo para Brasil, es propiedad de Sony Pictures Entertainment y distribuido actualmente por Ole Distribution, una empresa formada entre Ole Communications y WarnerMedia.
102;Space;Space es un canal de televisión por suscripción latinoamericano de origen argentino, propiedad de WarnerMedia que emite películas y series, principalmente, del género de acción, y el terror y el ciclo de boxeo denominado Combate Space. El canal está orientado al público de jóvenes-adultos (entre 16 a 65 años).
103;Studio Universal;"Studio Universal (conocido como Studio) es un canal de televisión por suscripción latinoamericano de origen estadounidense, propiedad de NBCUniversal operado por NBCUniversal International Networks y distribuido por Ole Distribution, una empresa formada entre Ole Communications y WarnerMedia. Programación	Cine y series"
104;Syfy;Syfy (estilizado como SYFY) es un canal de televisión por suscripción latinoamericano de origen estadounidense que emite series y películas de ciencia ficción, junto con otros géneros del cine como la fantasía, el horror y los fenómenos paranormales.
105;TBS Veryfunny;TBS (previamente conocido como TBS Very Funny) es un canal de televisión por suscripción latinoamericano de origen estadounidense que emite series, programas, películas de humor y comedia. Es propiedad de WarnerMedia, y es operado por Turner Broadcasting System Latin America. Fue lanzado el 1 de octubre de 2011. Programación: Cine y series de comedia.
106;Telehit;Telehit Música (anteriormente conocido como Ritmoson, Ritmoson Latino, RMS y Telehit Urbano) es un canal de televisión por suscripción latinoamericano de origen mexicano, enfocado a la emisión de música las 24 horas del día. Fue lanzado el 30 de abril de 1994 bajo el nombre de Ritmoson y es propiedad de Televisa Networks. 
107;Telemundo;Telemundo Internacional es un canal de televisión por suscripción internacional de origen estadounidense, propiedad de NBCUniversal, operado por NBCUniversal International Networks y distribuido actualmente por Ole Distribution (excepto México), una empresa formada entre Ole Communications y WarnerMedia1?y por Televisa Networks en México. Está enfocado a un público juvenil y adulto y la totalidad de su programación se basa al igual que la de Telemundo, componiéndose principalmente de series, telenovelas, variedades y noticieros. Su sede central se ubica en Miami, Estados Unidos.
108;Telever;Transmisión oficial de Televisa Veracruz más conocido como Telever. Puedes verlos en vivo online por internet gratis. No te pierdas toda la programación desde telever. Telever es un Canal Local y uno de los más influyentes e importantes de la región del Estado de Veracruz, con diversos programas de noticias, revista, musicales y deportivos de producción local.
109;Televisa Sonora;vacio
110;TLC;"TLC (siglas de The Learning Channel. El canal del aprendizaje, en español) es un canal de televisión por suscripción estadounidense que transmite una gran variedad de programas culturales. Desde 1991, TLC ha sido administrado por Discovery Communications, la misma compañía que opera a Discovery Channel, Animal Planet y Discovery Science. Programación	Documentales, Viajes y Estilos de Vida"
111;TLnovelas;Tlnovelas es un canal de televisión por suscripción internacional de origen mexicano enfocado en telenovelas. El canal posee tres señales, las cuales se distribuyen en Latinoamérica, Europa y los Estados Unidos respectivamente. esta última señal se encuentra disponible bajo el nombre de Univision Tlnovelas.
112;TNT;TNT (siglas de Turner Network Television) es un canal de televisión por suscripción latinoamericano de origen estadounidense, variante regional del canal original, que inició sus operaciones el 28 de enero de 1991 y está orientado a la emisión de películas. Es propiedad de WarnerMedia y es operado por Turner Broadcasting System Latin America. Programación Cine Series
113;TNT Series;TNT Series es un canal de televisión por suscripción latinoamericano de origen estadounidense, señal hermana de TNT en Latinoamérica. Su programación se basa en series de suspenso, dramáticas, policiales y de ciencia ficción.
114;Tu Canal Ciudad Juarez;"Televisa Juárez o Canal 8 (indicativo XHJCI-TV) es una estación de televisión localizada en Ciudad Juárez, Chihuahua, sirviendo al área de Ciudad Juárez, Chihuahua y las ciudades vecinas (El Paso, Texas y Las Cruces, Nuevo México). Programación	Generalista"
115;Tu Canal Mexicali;vacio
116;Tu Canal Tijuana;vacio
117;TUDN;"TUDN (acrónimo de Televisa Univision Deportes Network) es un canal de televisión por suscripción mexicano-estadounidense especializado en deportes, propiedad de Grupo Televisa y Univisión. Fue lanzado en México y los Estados Unidos a las 12:00 a.m. del 20 de julio de 2019, en reemplazo de los canales TDN, TD Centro, Univision Deportes Network y Univisión TDN. También se convirtió en remplazo de las marcas/divisiones, Televisa Deportes y Univision Deportes.1? Su nombre proviene de la fusión de las cadenas reemplazadas, TDN y Univisión Deportes Network, siendo las siglas de Televisa Univisión Deportes Network.2? Cuenta con una señal para México y otra para Estados Unidos.3? El primer programa que emitió para México fue Noche de puños y para Estados Unidos fue Línea de cuatro. Programación	Deportes"
118;Tv Mexiquense;Somos una televisora pública que busca propiciar, preservar y, en su caso, rescatar la identidad estatal, local y nacional. promovemos los valores de la democracia, el respeto a la dignidad y privacidad de las personas así como asumimos el compromiso de procurar, en todas nuestras emisiones, información basada en una visión mexiquense y mexicana con respeto a la pluralidad, integridad, imparcialidad, oportunidad y veracidad que contribuyan al desarrollo del sentido crítico, civil y ético de la comunidad estatal. la protección al medio ambiente, las condiciones de paz y la tranquilidad social.
119;Tv Unam;"TV UNAM (conocido también por sus logos estilizados como teveunam, tvu, tvunam y tv•unam) es un canal de televisión abierta mexicano, propiedad de la Universidad Nacional Autónoma de México (UNAM), administrado a través de la Dirección General de Televisión Universitaria que forma parte de la Coordinación de Difusión Cultural de la UNAM. Reúne la variedad cultural, científica, artística, así como pensamientos universitarios para impulsar el desarrollo de formatos y lenguajes audiovisuales. Programación	Educación Cultura"
120;Tv3 Puebla;vacio
121;TVC;TVC es un canal producido en México, que actualmente sólo se puede ver a través de los sistemas de televisión por cable, (principalmente en Megacable y Dish México). Es propiedad de PCTV, una de las productoras de contenidos y distribuidora de señales para televisión por cable más importantes del país.
122;TVC Deportes;TVC Deportes es un canal de televisión por suscripción mexicano, el cual emite programación deportiva tanto nacional como internacional. es propiedad de PCTV. Programación Deportes.
123;Unicable;Unicable es un canal de televisión por suscripción de origen mexicano producido por Televisa. Su programación se centra en la emisión de programas de entretenimiento, estilo de vida, moda, salud, espectáculos, series, novelas y películas para la audiencia femenina.
124;Universal Tv;"Universal TV (conocido como Universal) es un canal de televisión por suscripción latinoamericano de origen estadounidense, propiedad del conglomerado NBCUniversal, empresa que maneja el estudio cinematográfico del mismo nombre y el canal de televisión abierta estadounidense NBC. Operado por NBCUniversal International Networks y distribuido por Ole Distribution, una empresa formada entre Ole Communications y WarnerMedia.1?? Su programación se compone de series, películas de los Estudios Universal y programas basados en el crimen, la investigación y el drama, además de series de comedia. Programación	Series y películas"
125;VH1;"VH1 (también conocido como VH1 Latino) fue un canal de televisión por suscripción latinoamericano de origen estadounidense dedicado a la música. Fue la filial latinoamericana del canal VH1 estadounidense y uno de los canales hermanos de MTV, y pertenece a ViacomCBS Networks Americas. Programación	Música"
126;Videorola;"Video Rola es un canal de televisión por suscripción mexicano dedicado a la transmisión de música regional mexicana. La señal del canal tiene una programación variada, programas en vivo, entrevistas exclusivas, vídeos de estreno, musicales en vivo exclusivos, entre otros programas. Programación	Música Regional Mexicana"
127;Warner;"Warner TV (conocido como Warner o Warner Channel) es un canal de televisión por suscripción latinoamericano de origen estadounidense operado por Turner Broadcasting System Latin America, empresa filial perteneciente a WarnerMedia. Se unió al Consejo Latinoamericano de Publicidad en Multicanales (LAMAC) en 2004. Está centrado en emisión de series, comedia, películas y entretenimiento. Programación	Series, comedias y películas"
128;Zee Mundo;"Zee Mundo es un canal de televisión por suscripción internacional de origen indio que transmite películas de Bollywood en español las 24 horas. Es parte de Essel Group.
Programación	Películas
Lanzado en septiembre de 2016, Zee Mundo presenta películas en HD de Bollywood al público latino, dobladas en español.1?

Los más de 3800 títulos de Zee Entertainment incluyen una amplia gama de géneros, como acción, romance, suspenso, drama y comedia.2?3?

Zee Mundo está actualmente disponible dentro de Estados Unidos en DISH Latino, Sling Latino y VEMOX, y está buscando expandirse a más afiliados y consumidores estadounidenses y latinoamericanos."
